time,addr,bus,data
781.102871733,4097,CarState,24deff6a24f10000
781.102871733,4098,CarState,000009600000101e
781.102871733,4099,CarState,002612
781.102871733,4096,CarState,03b003ae03ac03ba
781.107160848,180,0,00000000bc0d46cb
781.107160848,180,130,00000000bc0d46cb
781.107160848,37,0,00020000a00200d1
781.107160848,37,130,00020000a00200d1
781.107160848,547,0,000000000000002d
781.107160848,547,130,000000000000002d
781.107160848,36,0,020201ea420080dd
781.107160848,36,130,020201ea420080dd
781.107160848,740,128,f1ffc2009d
781.107160848,296,129,f40190830037
781.107160848,835,128,ff5763c0000000c7
781.107160848,643,128,0000000000008c
781.107160848,550,1,0d00390018040496
781.107160848,836,128,0000010000000050
781.107160848,551,1,0d0000000000003e
781.107160848,705,0,0000ccff78c600d4
781.107160848,552,1,0d006472485b
781.107160848,705,130,0000ccff78c600d4
781.107160848,553,1,0df464a2447c
781.107160848,170,0,27d427bf279527aa
781.107160848,554,1,0d0064b2489d
781.107160848,170,130,27d427bf279527aa
781.107160848,555,1,0d0000000040
781.107160848,556,1,0d0000000041
781.107160848,557,1,0d0000000042
781.107160848,558,1,0d0000000043
781.107160848,559,1,0d0000000044
781.107160848,560,1,0d7fff3d110012
781.107160848,561,1,0d001ef40000035d
781.107160848,562,1,0d00fe00fe00fe43
781.107160848,321,129,00000046
781.107160848,512,128,000000000c95
781.107160848,869,128,00000080fc0008
781.107160848,870,128,007207ff09fe00
781.1155759,4097,CarState,24ddff6a24dd0000
781.1155759,4098,CarState,000009600000101e
781.1155759,4099,CarState,002612
781.1155759,4096,CarState,03b203b803ac03a7
781.116263139,4100,UbloxGnss,000001fb08511212
781.1171582439999,37,0,00020000a00200d1
781.1171582439999,37,130,00020000a00200d1
781.1171582439999,36,0,020201f341f480d9
781.1171582439999,36,130,020201f341f480d9
781.1171582439999,740,128,f3ffb80095
781.1171582439999,740,2,ae00000099
781.1171582439999,608,0,08ffdb0000ff9de8
781.1171582439999,608,130,08ffdb0000ff9de8
781.1171582439999,170,0,27bb27b7278427b1
781.1171582439999,170,130,27bb27b7278427b1
781.1171582439999,186,0,01ea00a9
781.1171582439999,186,130,01ea00a9
781.1171582439999,548,0,0000000000010008
781.1171582439999,548,130,0000000000010008
781.1171582439999,513,0,01ed03d6008b
